feature_date,ticker,sent_mean,sent_count,sent_3d,has_news,finbert_mean,finbert_3d,iv_atm,iv_premium,put_call,social_count,social_mood
2026-09-24,AAPL,0.122729,55,0.112001,1,0.0148509,0.0162454,0.236519,0.0807456,-0.679379,3.43399,0.75
2026-09-24,AMZN,0.14933,80,0.1594,1,-0.07794,-0.110629,0.294563,0.0529335,-0.936453,3.43399,1
2026-09-24,GOOGL,0.0996065,62,0.109954,1,0.0315774,-0.0579047,0.318946,0.152354,-1.37841,3.43399,1
2026-09-24,JPM,0.172679,33,0.139712,1,0.247448,0.116975,0.247078,0.316537,-1.19576,2.63906,0.714286
2026-09-24,META,0.145971,151,0.149728,1,0.0783026,0.0847978,0.488134,0.0237755,-0.538942,3.43399,0.4
2026-09-24,MSFT,0.0271265,49,0.0398991,1,0.0369306,0.0710908,0.255073,0.13072,-1.17138,3.43399,0.866667
2026-09-24,NVDA,0.137434,101,0.135491,1,-0.0595842,-0.0544238,0.304817,-0.370259,-0.266811,3.4012,0.333333
2026-09-24,TSLA,0.111257,44,0.114908,1,0.101927,0.0642643,0.456121,0.0341549,-0.132893,3.43399,0.6
2026-09-24,UNH,0.192844,25,0.221263,1,-0.1558,-0.0881801,0.344306,0.523077,-0.459202,3.43399,-0.2
2026-09-24,XOM,0.0400789,19,0.150946,1,0.0874947,0.135299,0.308357,0.0894416,-0.622446,2.89037,0.333333
